Company Name,Symbol,Company Website,Linked In Profile,PublicPrivate,Acquired by,Market Cap,Revenue,Revenue Year,Market Segment
Oracle,A3LDXM.MU,,,,,,,,
PANASONIC CORP,PCRFF,,,,,,,,
Panovasic,,,,,,,,,
Parrot,PAOTF,,,,,,,,
Phison Electronics,8299.TW,,,,,,,,
PLATO NETWORKS INC,PANW,,,,,,,,
PLX TECHNOLOGY INC,6570.TW,,,,,,,,
Qbit Semiconductor,,,,,,,,,
Qualcomm,QCIM.BE,,,,,,,,
Raytheon,RTN2.BE,,,,,,,,
RAYTHEON COMPANY,,,,,,,,,
RAZA MICROELECTRONICS INC,,,,,,,,,
RDA MICROELECTRONICS,,,,,,,,,
Realtek Semiconductor,2379.TW,,,,,,,,
RED DIGITAL CINEMA,,,,,,,,,
Renesas,ALINS.PA,,,,,,,,
RESEARCH IN MOTION,,,,,,,,,
Ricoh Group,,,,,,,,,
RMI CORP,ETPHF,,,,,,,,
Robert Bosch,A351UK.MU,,,,,,,,
SAICT (SHANDONG ACADEMY OF INFO & COMM TEC),,,,,,,,,
sambanova,,,,,,,,,
SAMSUNG,KDXFF,,,,,,,,
SANEI HYTECHS,,,,,,,,,
Sanyo,SKXJF,,,,,,,,
SASKEN COMMUNICATION TECH LTD,,,,,,,,,
Satixfy,SATX,,,,,,,,
SCKIPIO TECHNOLOGIES,,,,,,,,,
Seagate Technology,STX,,,,,,,,
SEIKO EPSON KK,,,,,,,,,
SEQUANS,CEQP,,,,,,,,
SH PROMOTION CTR FOR IC TECH & INDU,,,,,,,,,
Shanghai Fullhan,300613.SZ,,,,,,,,
SHANGHAI FULLHAN MICROELECTRONICS,,,,,,,,,
SHANGHAI INTL SCIENCE & TECHNOLOGY,,,,,,,,,
SHANGHAI JIAO TONG UNIV,,,,,,,,,
SHANGHAI TONGJI S & T IND CO LTD,,,,,,,,,
SHARP CORP,SHCAF,,,,,,,,
SHENZHEN IC DESIGN INCUBATOR,,,,,,,,,
SHENZHEN STATE MICRO TECHNOLOGY,,,,,,,,,
SIANO MOBILE SILICON LTD,,,,,,,,,
Sichuan Changhong,600839.SS,,,,,,,,
SIGMA DESIGNS INC,,,,,,,,,
SIGMATEL INC,SASI,,,,,,,,
SILICON HIVE BV,,,,,,,,,
Silver Bullet Technology,,,,,,,,,
Sirius XM Radio,A3KUZ1.MU,,,,,,,,
SIVERGE NETWORKS LTD,,,,,,,,,
Socionext,JJP,,,,,,,,
SOLARFLARE COMMUNICATIONS INC,,,,,,,,,
Sonix Technology,5471.TW,,,,,,,,
SONY CORP,FCCO,,,,,,,,
SOUTHEAST ASIC DESIGN CENTER,,,,,,,,,
SPREADSTRUM COMMUNICATIONS,,,,,,,,,
SRISA,SYIEF,,,,,,,,
ST Ericsson,WYJI.HM,,,,,,,,
ST Micro,KWE,,,,,,,,
ST Microelectonics NV,,,,,,,,,
ST/ST-E-STMICROELECTRONICS GRENOBLE 2 SAS,,,,,,,,,
STATE GRID,A1ZU78.DU,,,,,,,,
STEC,STEC.BK,,,,,,,,
STMICROELECTRONICS,STMEF,,,,,,,,
SUMISHIN MATSUSHITA FINANCIAL KK,,,,,,,,,
SUNPLUS TECHNOLOGY CO LTD,2401.TW,,,,,,,,
TELEGENT SYSTEMS USA INC,,,,,,,,,
Tesla,TSLA,,,,,,,,
TEXAS INSTRUMENTS INC,TXN,,,,,,,,
ThinCI,A3LJ36.DU,,,,,,,,
Topcon Positioning Systems,,,,,,,,,
Toshia,TOSBF,,,,,,,,
TOSHIBA CORP,TOSBF,,,,,,,,
TSINGHUA UNIV,,,,,,,,,
TUNG D INTERNATIONAL CO LTD,,,,,,,,,
U CREATIVE TECHNOLOGY HK LTD,,,,,,,,,
U-Blox,UBLXF,,,,,,,,
Uhnder,LU0200080918.HA,,,,,,,,
UNIVERSITY / INSTITUTE,,,,,,,,,
UNIVERSITY/INSTITUTE,,,,,,,,,
Verisilicon,688521.SS,,,,,,,,
VIA Alliance Semiconductor,,,,,,,,,
VIA TECHNOLOGIES,VMAR,,,,,,,,
VIA TECHNOLOGIES-S3 Graphics,,,,,,,,,
ViaSat,VSAT,,,,,,,,
VIMICRO CORPORATION,,,,,,,,,
VWEB CORP,1616.TW,,,,,,,,
WESTERN DIGITAL TECHNOLOGIES INC,,,,,,,,,
WINBOND,WGO,,,,,,,,
Winbond Electroncis,,,,,,,,,
WINTEGRA LTD,,,,,,,,,
WIP GMBH & CO KG,,,,,,,,,
Wright Patterson,,,,,,,,,
WUXI MICROELECTRONICS INSTITUTE,,,,,,,,,
WZ TECHNOLOGY,2082650D.SZ,,,,,,,,
XGI TECHNOLOGY INC,,,,,,,,,
XILINX INC,A19JB8.BE,,,,,,,,
Xlinx,CWEB,,,,,,,,
YAMAHA KK,,,,,,,,,
yDesign,JNBYF,,,,,,,,
ZORAN MICROELECTRONICS LTD,,,,,,,,,
ZTE,ZTE.CN,,,,,,,,
